ID,FirstName,LastName,Gender,Salary,Country,Email
1,John,Doe,M,"$10,000.00",USA,john.doe@example.com
2,Jane,Smith,F,"$100,000.00",USA,jane.smith@example.com
3,Raj,Kumar,M,"$787,999.00",USA,raj.kumar@example.com
4,Grace,Martinez,F,"$46,407.00",USA,grace.martinez@example.com
5,Evelyn,Morgan,M,"$123,428.00",USA,evelyn.morgan@example.com
6,Lucas,Fox,F,"$93,907.00",USA,lucas.fox@example.com
7,Zoey,Cox,F,"$50,305.00",USA,zoey.cox@example.com
8,Penelope,Rodriguez,M,"$139,899.00",USA,penelope.rodriguez@example.com
9,Cameron,Garcia,F,"$49,362.00",USA,cameron.garcia@example.com
10,Daniel,Martin,F,"$104,401.00",USA,daniel.martin@example.com
11,Aurora,Bailey,M,"$46,820.00",USA,aurora.bailey@example.com
12,Andrew,Campbell,M,"$125,482.00",USA,andrew.campbell@example.com
13,Brayden,Wright,M,"$43,802.00",USA,brayden.wright@example.com
14,Joshua,Brown,F,"$106,690.00",USA,joshua.brown@example.com
15,Wyatt,Black,F,"$98,977.00",USA,wyatt.black@example.com
16,Stella,Wallace,F,"$95,031.00",USA,stella.wallace@example.com
17,David,King,F,"$56,497.00",USA,david.king@example.com
18,Isaac,Robinson,M,"$131,466.00",USA,isaac.robinson@example.com
19,James,Sanchez,F,"$103,990.00",USA,james.sanchez@example.com
20,Michael,Anderson,M,"$147,805.00",USA,michael.anderson@example.com
21,Layla,Chapman,F,"$120,098.00",USA,layla.chapman@example.com
22,Isabella,Wright,M,"$87,683.00",USA,isabella.wright@example.com
23,Ellie,Clark,M,"$129,022.00",USA,ellie.clark@example.com
24,Caleb,Johnson,F,"$89,713.00",USA,caleb.johnson@example.com
25,Isabella,Chapman,F,"$47,206.00",USA,isabella.chapman@example.com
26,Michael,Phillips,F,"$70,553.00",USA,michael.phillips@example.com
27,Harper,Garcia,F,"$92,571.00",USA,harper.garcia@example.com
28,Aria,Graham,M,"$107,102.00",USA,aria.graham@example.com
29,Joshua,Adams,F,"$43,665.00",USA,joshua.adams@example.com
30,Lucas,Adams,M,"$81,932.00",USA,lucas.adams@example.com
31,Avery,Morgan,F,"$89,598.00",USA,avery.morgan@example.com
32,Skylar,Jones,F,"$142,628.00",USA,skylar.jones@example.com
33,Natalie,Scott,M,"$137,951.00",USA,natalie.scott@example.com
34,Chloe,Murphy,M,"$143,743.00",USA,chloe.murphy@example.com
35,Audrey,Harper,M,"$43,605.00",USA,audrey.harper@example.com
36,Stella,Cox,M,"$120,251.00",USA,stella.cox@example.com
37,Matthew,Johnson,M,"$137,273.00",USA,matthew.johnson@example.com
38,Samantha,Brown,M,"$126,870.00",USA,samantha.brown@example.com
39,Madison,Graham,F,"$135,586.00",USA,madison.graham@example.com
40,Hannah,Mitchell,F,"$48,035.00",USA,hannah.mitchell@example.com
41,Emily,Harper,F,"$93,791.00",USA,emily.harper@example.com
42,William,Torres,M,"$102,803.00",USA,william.torres@example.com
43,Jason,Roberts,F,"$104,136.00",USA,jason.roberts@example.com
44,Chloe,Peterson,F,"$99,043.00",USA,chloe.peterson@example.com
45,Ryan,Ramsey,M,"$71,559.00",USA,ryan.ramsey@example.com
46,Caleb,Hamilton,M,"$70,852.00",USA,caleb.hamilton@example.com
47,Wyatt,Wheeler,F,"$78,903.00",USA,wyatt.wheeler@example.com
48,Ava,Lee,M,"$51,546.00",USA,ava.lee@example.com
49,Elena,King,F,"$94,076.00",USA,elena.king@example.com
50,Andrew,Martinez,M,"$71,708.00",USA,andrew.martinez@example.com
51,Daniel,Cox,M,"$57,233.00",USA,daniel.cox@example.com
52,Sadie,Wilson,M,"$46,249.00",USA,sadie.wilson@example.com
